Journal,Issn,Eissn,Description,Publisher,Societies,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Brain Pathology,1015-6305,1750-3639,"""Brain Pathology is a peer-reviewed bi-monthly, Open Access journal that includes original research, review articles and symposia focusing on the pathogenesis of neurological disease.  Brain Pathology is the journal of choice for biomedical scientists investigating diseases of the nervous system, including:

neuropathologists
neurologists
neurosurgeons 
neuroscientists, and
general pathologists with an interest in neuropathology""",Wiley,"",https://onlinelibrary.wiley.com/page/journal/17503639/homepage/forauthors.html,2,"""Data must be cited in the same way as article, book, and web citations and authors are required to include data citations as part of their reference list.""",1,"""Data Sharing and Data Availability  Please review Wiley’s policy here. This journal expects data sharing.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,3
Environment and Planning F,2634-9825,2634-9825,"""Environment and Planning F: Philosophy, Theory, Models, Methods and Practice will seek to plug a gap in current publishing in Geography by attracting agenda-setting papers that break new ground by forging connections between cutting-edge research in all areas of the subject. It will be a whole-of-discipline journal that makes a virtue of Geography’s considerable diversity and vitality.""",SAGE,"",https://journals.sagepub.com/author-instructions/EPF,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
ECNU Review of Education,2096-5311,2096-5311,"""ECNU Review of Education (ROE) is an international, peer-reviewed journal established by the East China Normal University (ECNU) in Shanghai, China. This open-access journal seeks to facilitate in-depth dialogues among various stakeholders, and build a global community of scholars. ECNU sponsors the journal by covering open-access article processing charge (APC), so there is no APC for the authors.""",SAGE,"",https://journals.sagepub.com/author-instructions/ROE,0,No mention,0,"""All data submitted should comply with Institutional or Ethical Review Board requirements and applicable government regulations.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Environment and Planning E: Nature and Space,2514-8486,2514-8494,"""Environment and Planning E: Nature and Space is an interdisciplinary journal of nature-society scholarship. International in scope, the journal welcomes theoretically robust, empirically rich research from an array of fields including political ecology, environmental justice, science and technology studies, conservation and the environmental humanities.""",SAGE,"",https://journals.sagepub.com/author-instructions/ENE,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Economic Development Quarterly,0891-2424,1552-3543,"""The mission of Economic Development Quarterly is to promote research supporting the formulation of evidence-based economic development and workforce development policy, programs, and practice in the United States.

The focus of EDQ is high quality research in economic and workforce development policy and practice within the United States. This research can be scholarly, applied or practice-oriented.

EDQ takes a broad view of economic development policy and practice by encompassing both labor supply and demand-side research perspectives. Workforce development strategies, policies, programs, and practices are crucial components to regional economic development and therefore will remain a special focus for EDQ.

Case studies contribute to the body of economic development research. EDQ encourages cross-sectional or multi-site, comparative case studies rather than single case, single-site studies.

In selecting articles for publication, priority will be given to high quality research that contributes to the body of evidence discovering and/or substantiating effective economic development strategies, policies, programs, and practice. Each article published in EDQ will clearly identify the implications of the research for policy and practice within the United States and its contribution to the body of evidence on effective economic development strategies. Research based on other nations will be considered only if it has important and clearly-identified implications for policy and practice within the United States.""",SAGE,"",https://journals.sagepub.com/author-instructions/EDQ,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Environment and Planning D: Society and Space,0263-7758,1472-3433,"""EPD: Society and Space is an international, interdisciplinary scholarly and political project. Through both a peer reviewed journal and an editor reviewed companion website, we publish articles, essays, interviews, forums, and book reviews that examine social struggles over access to and control of space, place, territory, region, and resources.""",SAGE,"",https://journals.sagepub.com/author-instructions/EPD,0,No mention,2,"""Environment and Planning D: Society and Space requests all authors submitting any primary data used in their research articles alongside their article submissions to be published in the online version of the journal, or provide detailed information in their articles on how the data can be obtained. This information should include links to third-party data repositories or detailed contact information for third-party data sources. Data available only on an author-maintained website will need to be loaded onto either the journal’s platform or a third-party platform to ensure continuing accessibility.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
Electronic News,1931-2431,1931-244X,"""Electronic News is a quarterly journal devoted to advancing knowledge and understanding of the news as disseminated through electronic media channels. This is the official journal of the Broadcast and Mobile Journalism Division of the Association for Education in Journalism and Mass Communication

Electronic News promotes and publishes research and ideas with clear relevance to the content, practice, education, and administration of news across radio, television, mobile, web, social, and streaming platforms.

Electronic News bridges between scholars and practitioners, providing opportunities to publish and read applied research, invited essays, and reviews of books relevant to electronic news as an evolving and dynamic practice.""",SAGE,"",https://journals.sagepub.com/author-instructions/ENX,,"",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Environment and Planning C: Politics and Space,2399-6544,2399-6552,"""Environment and Planning C: Politics and Space is an international journal of critical, heterodox, and interdisciplinary research into the relations between the political and the spatial. It advances debates on the spatialization of politics and the politicization of spatial relations. The journal welcomes original contributions that integrate empirical and theoretical analyses to engage, advance, challenge, and reframe debates about the political.""",SAGE,"",https://journals.sagepub.com/author-instructions/EPC,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
"Education, Citizenship and Social Justice",1746-1979,1746-1987,"""Education, Citizenship and Social Justice is a peer-reviewed journal that provides a strategic forum for international and multi-disciplinary dialogue for all academic educators and educational policy-makers concerned with the meanings and form of citizenship and social justice as these are realized throughout the time spent in educational institutions. 

The journals focuses on the interplay between the different dimensions of division in society within the context of education, citizenship and social justice across the full spectrum of education and education-related institutions and practices.""",SAGE,"",https://journals.sagepub.com/author-instructions/ESJ,1,"""Subject to appropriate ethical and legal considerations, authors are encouraged to:...cite this data in your research""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to:  share your research data in a relevant public data repository include a data availability statement linking to your data. If it is not possible to share your data, we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,1
Environment and Planning B: Urban Analytics and City Science,2399-8083,2399-8091,"""Environment and Planning B: Urban Analytics and City Science is an international, multidisciplinary journal focused on the application of quantitative, computational, design and visual methods to the spatial and morphological structure of cities and regions.""",SAGE,"",https://journals.sagepub.com/author-instructions/EPB,0,No mention,2,"""Environment and Planning B: Urban Analytics and City Science requests all authors submitting any primary data used in their research articles alongside their article submissionsto be published in the online version of the journal, or provide detailed information in their articles on how the data can be obtained. This information should include links to third-party data repositories or detailed contact information for third-party data sources. Data available only on an author-maintained website will need to be loaded onto either the journal’s platform or a third-party platform to ensure continuing accessibility.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,2
